4 x car,"p = 0.9, q = 0.1","p = 0.9, q = 0.2","p = 0.9, q = 0.5","p = 0.6, q = 0.1","p = 0.6, q = 0.2","p = 0.6, q = 0.5"
1,9.626509954825284,5.043610970912185,2.2857142857142856,9.626509954825284,5.043610970912185,2.2857142857142856
2,4.690790536755295,3.2515002282479197,2.1038988073387763,5.1955092344533425,3.545428693954787,2.1885289198111444
3,3.6941782414853455,2.8598900987641747,2.0311809134919194,4.155211937109057,3.1190975496236493,2.08971279694956
4,3.289977496907398,2.6953516704883067,2.0076886380095034,3.6946795034408457,2.926098533374326,2.0363201078987023
5,3.0812213650250158,2.5824258493833554,2.0017037764879797,3.4257566960093917,2.8229082061193207,2.013312694677263
6,2.9726531500123867,2.47897841817382,2.0003547947257916,3.245893815039444,2.748832819460822,2.0045717675217296
7,2.915610352793959,2.3828834472745863,2.0000710847518297,3.1255151871688143,2.678587098226004,2.0015021519745164
8,2.877912813144017,2.2977369315305345,2.0000138828451055,3.051336872564757,2.606129975505331,2.000478679897344
9,2.844007870676251,2.2257526236973413,2.0000026628710468,3.009254419310774,2.5323403536135354,2.0001492569769184
10,2.8086902224498376,2.1673241561151575,2.0000005039316417,2.9857722296527593,2.4596911960194663,2.00004580546224
