car,p = 0.9,p = 0.8,p = 0.5,p = 0.4,p = 0.3
2,1.1111111111111112,1.25,2.0,2.5,3.333333333333333
3,1.1937557392102847,1.3888888888888888,2.222222222222222,2.734375,3.5755478662053055
4,1.2720531853526236,1.502716521251901,2.2857142857142856,2.7492183097728886,3.5152097070447574
5,1.3441676773230578,1.597421485892363,2.2928092718568904,2.709372196485823,3.405477466700379
6,1.4095739636734674,1.6755064306093599,2.2767780434768805,2.6577912706992293,3.298408184403867
7,1.4685736639881095,1.7392476741295322,2.2515023149296343,2.607386025381628,3.2045026408872417
8,1.5217063641983184,1.7908751481241967,2.2232269144347723,2.561568851411179,3.124282519952229
9,1.5695335009222602,1.8324727111549952,2.1948807967563515,2.5205224100918016,3.056043657804996
10,1.612579663271136,1.8658820756466437,2.167913140869527,2.4834278321118943,2.99787493934331
11,1.651321592090002,1.8926659311983884,2.143068206194611,2.449314923816897,2.9481134819471255
12,1.6861894106437096,1.9141165958284592,2.1207071294711963,2.4173791276223953,2.9053685500897424
13,1.7175704649155163,1.9312868004024846,2.1009528907018176,2.387067374814146,2.8684517536528737
14,1.745813417454655,1.9450268713322953,2.083770644208459,2.3580606167941283,2.8363151418580332
15,1.7712320755092419,1.9560204870822144,2.069022392161424,2.3302174269864495,2.80801943111924
16,1.7941088679173331,1.964815995540944,2.0565077476143703,2.3035122732149995,2.782726626575272
17,1.8146979811172446,1.971852643595293,2.045994386901964,2.2779836344718656,2.759704389968856
18,1.8332281830038246,1.9774820559234898,2.037239990437186,2.2536963489232043,2.738331653643567
19,1.8499053647030994,1.9819856221039673,2.0300072372468367,2.230717214697249,2.718099749796748
20,1.8649148282327204,1.9855884890273543,2.02407335749044,2.2091009122439305,2.6986074901360504
21,1.8784233454094346,1.9884707879234413,2.019235598623533,2.1888831440627587,2.6795511505469123
22,1.8905810108684884,1.9907766290857452,2.0153137467772364,2.1700784305204306,2.660711319421126
23,1.901522909781639,1.9926213027939292,2.012150617126074,2.1526806941039034,2.6419385891584213
24,1.911370618803475,1.9940970420557786,2.0096112170508706,2.136665370422346,2.6231396227765673
25,1.9202335569231275,1.9952776335769984,2.0075811066407736,2.1219922381958853,2.604264562674803
26,1.9282102012308147,1.9962221068361554,2.0059643350000553,2.108608472947575,2.5852962516338356
27,1.935389181107733,1.9969776854593695,2.0046812157034584,2.0964516334408767,2.5662413747836488
28,1.9418502629969598,1.9975821483639133,2.0036661165571803,2.085452419336949,2.5471234069471125
29,1.9476652366972638,1.9980657186897899,2.0028653731036554,2.0755371189924885,2.5279771351366898
30,1.9528987130275377,1.9984525749513309,2.002235387745057,2.066629715736112,2.508844487109709
31,1.9576088417247837,1.9987620599608777,2.001740943067008,2.0586536509914164,2.4897714038720076
32,1.9618479575523053,1.9990096479686321,2.001353735570765,2.0515332605217393,2.470805524558913
33,1.9656631617970748,1.9992077183748798,2.0010511217832128,2.0451949103070803,2.451994491468144
34,1.9690968456173674,1.9993661746998943,2.00081506036236,2.039567863859447,2.433384722477714
35,1.9721871610556305,1.999492939759912,2.0006312295910837,2.034584914845825,2.4150205332307815
36,1.9749684449500675,1.9995943518079282,2.0004882982112626,2.0301828188190973,2.3969435206078558
37,1.9774716004550608,1.999675481446342,2.00037732789845,2.0263025563959447,2.37919214199784
38,1.9797244404095546,1.9997403851570732,2.0002912870957084,2.0228894578817944,2.3618014423688045
39,1.9817519963685992,1.9997923081256586,2.0002246579121987,2.019893216495158,2.3448028940740344
40,1.9835767967317393,1.9998338465005268,2.000173120008737,2.0172678142544527,2.328224323686655
41,1.9852191170585654,1.9998670772004217,2.0001332976206116,2.014971381452874,2.3120899068133163
42,1.986697205352709,1.9998936617603373,2.0001025579754304,2.0129660075975053,2.296420216518622
43,1.988027484817438,1.9999149294082699,2.0000788512784,2.01121751882032,2.2812323142648516
44,1.989224736335694,1.9999319435266159,2.0000605841278594,2.009695234139299,2.2665398745636294
45,1.9903022627021247,1.9999455548212928,2.0000465196840067,2.0083717105896373,2.2523533361591888
46,1.991272036431912,1.9999564438570339,2.0000356991540666,2.007222485169817,2.238680073738062
47,1.9921448327887212,1.9999651550856274,2.0000273801962214,2.006225819752741,2.225524585040314
48,1.992930349509849,1.999972124068502,2.0000209887056113,2.0053624535852475,2.2128886889363777
49,1.993637314558864,1.999977699254801,2.0000160811523457,2.0046153667207824,2.200771730598844
50,1.9942735831029776,1.9999821594038412,2.00001231521695,2.003969556676351,2.189170790383765
51,1.99484622479268,1.9999857275230728,2.000009426934117,2.003411829750795,2.1780808934678313
52,1.995361602313412,1.9999885820184584,2.0000072129299182,2.002930607761656,2.1674952176818594
53,1.9958254420820705,1.999990865614767,2.0000055166370774,2.002515750427488,2.1574052973460467
54,1.9962428978738638,1.9999926924918134,2.000004217611407,2.0021583932185787,2.147801221252689
55,1.9966186080864774,1.9999941539934505,2.0000032232617113,2.0018508002005255,2.1386718232591826
56,1.9969567472778296,1.9999953231947605,2.000002462455093,2.001586231183033,2.1300048642484963
57,1.9972610725500466,1.9999962585558086,2.0000018805774573,2.001358822344306,2.121787204485635
58,1.997534965295042,1.999997006844647,2.000001435721723,2.0011634794151507,2.114004965646566
59,1.9977814687655377,1.9999976054757174,2.000001095748912,2.000995782464142,2.106643682020175
60,1.998003321888984,1.9999980843805742,2.0000008360240886,2.00085190131596,2.099688440584288
61,1.9982029897000857,1.999998467504459,2.000000637673562,2.000728520650581,2.093124009833662
62,1.998382690730077,1.9999987740035672,2.000000486244301,2.0006227738646905,2.0869349573919136
63,1.9985444216570696,1.9999990192028538,2.000000370673443,2.0005321848228346,2.0811057565713833
64,1.9986899794913624,1.9999992153622832,2.0000002824966816,2.0004546166799937,2.0756208821561226
65,1.9988209815422264,1.9999993722898268,2.0000002152405156,2.000388227016077,2.070464895774823
66,1.9989388833880035,1.9999994978318614,2.0000001639559377,2.0003314285835647,2.0656225213041197
67,1.999044995049203,1.999999598265489,2.000000124860822,2.0002828550302056,2.061078710799776
68,1.9991404955442829,1.999999678612391,2.000000095065827,2.0002413310178984,2.0568187014954344
69,1.9992264459898546,1.999999742889913,2.0000000723644025,2.000205846215535,2.052828064437557
70,1.999303801390869,1.9999997943119303,2.000000055071996,2.00017553269707,2.0490927453423406
71,1.9993734212517822,1.999999835449544,2.0000000419029647,2.0001496453259215,2.045599098267504
72,1.9994360791266041,1.9999998683596354,2.000000031876416,2.000127544752868,2.0423339126901414
73,1.9994924712139437,1.9999998946877082,2.0000000242441835,2.0001086826966867,2.0392844345728953
74,1.9995432240925495,1.9999999157501667,2.0000000184357773,2.000092589215156,2.036438381985628
75,1.9995889016832944,1.9999999326001334,2.0000000140163032,2.0000788617086127,2.033783955829875
76,1.9996300115149648,1.999999946080107,2.0000000106543236,2.0000671554293836,2.0313098461895223
77,1.9996670103634684,1.9999999568640854,2.000000008097312,2.0000571752982443,2.0290052348045347
78,1.9997003093271215,1.9999999654912681,2.0000000061529084,2.0000486688538235,2.0268597941357154
79,1.9997302783944093,1.9999999723930144,2.0000000046746225,2.0000414201829013,2.0248636834584364
80,1.9997572505549686,1.9999999779144115,2.0000000035509222,2.000035244699009,2.0230075423924054
81,1.9997815254994717,1.9999999823315293,2.000000002696907,2.0000299846538567,2.0212824822435436
82,1.9998033729495244,1.9999999858652235,2.0000000020479662,2.0000255052812763,2.0196800755032656
83,1.999823035654572,1.9999999886921789,2.0000000015549393,2.0000216914865825,2.018192343820352
84,1.9998407320891147,1.999999990953743,2.0000000011804278,2.000018445005824,2.016811744731394
85,1.9998566588802031,1.9999999927629943,2.0000000008959877,2.0000156819695922,2.015531157407736
86,1.999870992992183,1.9999999942103956,2.000000000679991,2.00001333081482,2.0143438676501613
87,1.9998838936929646,1.9999999953683165,2.0000000005159935,2.000011330495762,2.013243552337318
88,1.9998955043236681,1.9999999962946533,2.0000000003914957,2.000009628951971,2.0122242635101784
89,1.999905953891301,1.9999999970357225,2.000000000296997,2.0000081817969546,2.0112804122527557
90,1.9999153585021712,1.9999999976285778,2.0000000002252794,2.000006951196163,2.0104067525088265
91,1.999923822651954,1.999999998102862,2.0000000001708576,2.0000059049073657,2.0095983649555085
92,1.9999314403867587,1.99999999848229,2.0000000001295666,2.0000050154602187,2.0088506410373
93,1.9999382963480827,1.999999998785832,2.000000000098243,2.000004259455089,2.0081592672483937
94,1.9999444667132749,1.9999999990286654,2.0000000000744826,2.000003616963985,2.007520209736819
95,1.999950020041947,1.9999999992229325,2.0000000000564633,2.0000030710189223,2.0069296992910832
96,1.9999550180377526,1.9999999993783462,2.0000000000427973,2.0000026071750643,2.0063842167584247
97,1.9999595162339774,1.999999999502677,2.0000000000324363,2.000002213137848,2.0058804789335234
98,1.9999635646105796,1.9999999996021414,2.0000000000245803,2.000001878444799,2.0054154249473535
99,1.9999672081495217,1.9999999996817133,2.0000000000186255,2.0000015941940927,2.0049862031778223
